PLEKHJ1,Plekhj1
RSPH14,Rsph14
TSEN54,Tsen54
PROSER1,Proser1
ALG1L,
KLHL26,Klhl26
SMKR1,
UBE4A,Ube4a
NSUN3,Nsun3
KLHL13,Klhl13
KANK2,Kank2
ICE2,Ice2
TUFT1,Tuft1
ZC3HAV1L,Zc3hav1l
KRT39,Krt39
TOPBP1,Topbp1
VCPKMT,Vcpkmt
SOX21,Sox21
ADAMTS12,Adamts12
KCNMB1,Kcnmb1
BSPH1,Bsph1
KBTBD13,Kbtbd13
KRT17,Krt17
SH3RF1,Sh3rf1
CLDND2,Cldnd2
PPARGC1A,Ppargc1a
NDST1,Ndst1
SARAF,Saraf
SNX15,Snx15
LSM7,Lsm7
IL1RAPL1,Il1rapl1
KIAA1211L,2010300C02Rik
CTLA4,Ctla4
TMPO,Tmpo
SEZ6L2,sez6l2
AKAP10,Akap10
LOX,Lox
PRSS27,Prss27
CPOX,Cpox
SYK,Syk
TMEM145,Tmem145
IL36RN,Il1f5
PSME1,Psme1
GABPB1,Gabpb1
HUS1,Hus1
LHX9,Lhx9
TMEM200A,Tmem200a
OLFM3,Olfm3
HAO1,Hao1
CDKN1A,Cdkn1a
EFCAB7,Efcab7
ANKRD13D,Ankrd13d
NSG1,Nsg1
ARRDC1-AS1,
TLR6,Tlr6
SMIM22,Smim22
PSMG3,Psmg3
OR1J1,Olfr3
RNF185,Rnf185
VDR,Vdr
RNF123,Rnf123
DNAJC11,Dnajc11
TRIT1,Trit1
ACSL6,Acsl6
SKIV2L,Skiv2l
ARPC4,Arpc4
EPOR,Epor
GATB,Gatb
LTB4R,Ltb4r1
NSD1,Nsd1
NDUFA12,Ndufa12
LPCAT2,Lpcat2
PRELID2,Prelid2
ZNF254,
TCF20,Tcf20
PLA2G7,Pla2g7
PRR4,
MAP3K9,Map3k9
SETD1A,Setd1a
TRIM68,Trim68
FUT3,
GAD1,Gad1
SH3BP4,Sh3bp4
PRB3,
MCM5,Mcm5
LOC102723942,
RAB27B,Rab27b
TEC,Tec
SLC44A5,Slc44a5
PTN,Ptn
LOC100996401,
CHST6,Chst5
ITPK1,Itpk1
GALNT13,Galnt13
HSBP1,Hsbp1
LGALS13,
FNDC1,
PPP1R15A,Ppp1r15a
GALNT4,Galnt4
CSNK1A1,Csnk1a1
SBDS,Sbds
ADARB2,Adarb2
GPR137,Gpr137
GSDMB,
DDX49,Ddx49
C4H7orf49,3110062M04Rik
LOC101734605,Rec114
DENND3,Dennd3
GSTM1,Gstm2
HIST1H2BJ,Hist2h2be
PYGM,Pygm
SPAG4,Spag4
ATP6V0B,Atp6v0b
LRRD1,Lrrd1
METAP1D,Metap1d
KERA,Kera
FXR2,Fxr2
ACTL7A,Actl7a
LGI2,Lgi2
ADA,Ada
LOC101929379,
OR11H2,
FAM71E2,Fam71e2
SLC25A1,
PSMD8,Psmd8
ZC3H8,Zc3h8
SFXN5,Sfxn5
FANCM,Fancm
EDAR,Edar
CHCHD2,Chchd2-ps
TCEAL2,
NKX1-2,Nkx1-2
ANKS3,Anks3
PAN2,Pan2
ZNHIT2,Znhit2
DGKE,Dgke
EEA1,Eea1
MFAP4,Mfap4
URGCP,Urgcp
C2CD2,C2cd2
MAN1B1,Man1b1
PIMREG,Pimreg
MDFIC,Mdfic
C19H17orf64,1700125H20Rik
C17H4orf46,4930579G24Rik
PPP3CA,Ppp3ca
MED28,Med28
PPP1R13B,Ppp1r13b
SALL1,Sall1
TAPBP,Tapbp
PTCH1,Ptch1
PTPN5,Ptpn5
SF3B3,Sf3b3
TAF6,Taf6
NICN1,Nicn1
IGIP,Igip
C10orf12,
ATRN,Atrn
GTF2IRD1,Gtf2ird1
GPR19,Gpr19
PELI3,Peli3
KIAA0319L,AU040320
MTHFSD,Mthfsd
TBCC,Tbcc
LOC100130880,
BMP1,Bmp1
LOC102723899,1700015F17Rik
SLC22A4,Slc22a4
TMEM130,Tmem130
RSL1D1,Rsl1d1
LOC102724970,
RTN2,Rtn2
VARS,Vars
NCSTN,Ncstn
SEC24A,Sec24a
LYZL1,Lyzl1
DNM1L,Dnm1l
CPSF3,Cpsf3
ZNF614,
EID1,Eid1
ACOX3,Acox3
LOC102724633,
PTPN13,Ptpn13
LUC7L,Luc7l
ZKSCAN2,Zkscan2
USP6,
MUSK,Musk
OXA1L,Oxa1l
ZNF687,Zfp687
C1QA,C1qa
ANHX,
LEMD2,Lemd2
MINDY3,Mindy3
RNASE2,Rnase2b
ANKEF1,Ankef1
AKAP7,Akap7
SOX8,Sox8
MYL4,Myl4
HAUS5,Haus5
NDUFA13,Ndufa13
TACR1,Tacr1
MTPAP,Mtpap
LSAMP,Lsamp
TMEM199,Tmem199
POLDIP3,Poldip3
HELQ,Helq
MRNIP,Mrnip
ACTN2,Actn2
AMTN,Amtn
SIDT1,Sidt1
REPS2,Reps2
VPS11,Vps11
FAM157B,
TNNI3K,Tnni3k
ALDH1A1,Aldh1a1
FOXD1,Foxd1
SERINC3,Serinc3
HOXD1,Hoxd1
AP5B1,Ap5b1
DCK,Dck
PCGF3,Pcgf3
SLC45A2,Slc45a2
GALT,Galt
CBL,Cbl
HDAC7,Hdac7
TTK,Ttk
WDYHV1,Wdyhv1
SPAST,Spast
MYO1H,Myo1h
C11H12orf50,1700017N19Rik
ANXA8L1,Anxa8
SLC5A9,Slc5a9
OTOP3,Otop3
COX4I1,Cox4i1
OR5J2,Olfr1052
FOXRED1,Foxred1
MAP7D2,Map7d2
RAX2,
CAMKK1,Camkk1
MAGEB18,Mageb18
TTC7B,Ttc7b
RPL3,Rpl3
TMX2,Tmx2
TREML1,Treml1
DLGAP1,Dlgap1
S100A7,
CASP5,
MORC1,Morc1
TNFSF13B,Tnfsf13b
CRYGA,Cryga
AKAP13,Akap13
LONRF2,Lonrf2
NLRP10,Nlrp10
OR52A5,Olfr69
SCAP,Scap
ARGLU1,Arglu1
WFDC8,Wfdc8
ADAL,Adal
PRPF3,Prpf3
BTC,Btc
FBXL19,Fbxl19
SLC30A3,Slc30a3
MAPK9,Mapk9
ZNF507,Zfp507
GDA,Gda
SOX17,Sox17
PNKD,Pnkd
NDUFA1,Ndufa1
GBX2,Gbx2
BHLHA9,Bhlha9
CYSLTR1,Cysltr1
MOV10L1,Mov10l1
RASA2,Rasa2
PRR29,Prr29
TMED9,Tmed9
BCAS4,
PSMB8,Psmb8
ESYT3,Esyt3
LANCL1,Lancl1
FKBP4,Fkbp4
ZNF670,
CCDC88A,Ccdc88a
GPR39,Gpr39
NEPRO,Nepro
GSK3A,Gsk3a
ALOX12,Alox12
ZBTB8B,Zbtb8b
HMGA2,
TMEM254,
SP140L,
KRTAP4-6,
WNK1,Wnk1
SMPD5,Smpd5
RPS11,Rps11
SH3BGRL,Sh3bgrl
OR2T12,
GCNT1,Gcnt1
C11H16ORF87,4921524J17Rik
PTPN3,Ptpn3
ATCAY,Atcay
ANKLE2,Ankle2
ADCYAP1R1,Adcyap1r1
PAF1,Paf1
ZNF600,
ATP2B4,Atp2b4
TRAPPC2,Trappc2
LOC101929627,
TNXB,Tnxb
HTR3A,Htr3a
GOLGA5,Golga5
RPA3,Rpa3
ACTBL2,Actbl2
IMPDH1,Impdh1
MDP1,Mdp1
ZKSCAN1,Zkscan1
WDR47,Wdr47
TMEM121B,Tmem121b
MDH2,Mdh2
NFATC2IP,Nfatc2ip
TRAP1,Trap1
CPSF2,Cpsf2
CISD1,Cisd1
GCAT,Gcat
OR10S1,Olfr982
SMARCC2,Smarcc2
TNIK,Tnik
SHROOM3,Shroom3
KCNH6,Kcnh6
NRN1,Nrn1
IFNK,Ifnk
PRELP,Prelp
MEX3A,Mex3a
CABYR,Cabyr
SYP,Syp
NUP62,Nup62
IL22RA1,Il22ra1
IBTK,Ibtk
PECAM1,Pecam1
SNX20,Snx20
SLC35A4,Slc35a4
CENPI,Cenpi
METTL1,Mettl1
CAMK2A,Camk2a
PTBP2,Ptbp2
PCDHGA11,Pcdhga11
USP18,Usp18
PJVK,Pjvk
FBXO27,Fbxo27
FAM213A,Fam213a
PRPF38A,Prpf38a
GZMA,Gzma
ZBTB21,Zbtb21
CCDC153,Ccdc153
FBXO18,Fbxo18
NDUFAF7,Ndufaf7
FGF16,Fgf16
NRG1,
OTUD1,Otud1
WDR20,Wdr20
OR2L5,
TAF1B,Taf1b
PPP1R26,Ppp1r26
REG1B,Reg2
MED27,Med27
UBN2,Ubn2
HYDIN,Hydin
AEBP2,Aebp2
INHA,Inha
RTL8C,Rtl8c
WARS,Wars
MARCH8,March8
MEX3C,Mex3c
ZDHHC19,Zdhhc19
NFATC2,Nfatc2
IL4R,Il4ra
TNNC1,Tnnc1
CACNA1A,Cacna1a
RARS2,Rars2
DEK,Dek
RIN1,Rin1
TMTC3,Tmtc3
COL28A1,Col28a1
CRB1,Crb1
NCEH1,Nceh1
PSMA8,Psma8
CLASP2,Clasp2
ACSBG1,Acsbg1
ZNF791,Zfp791
HOXA9,Hoxa9
CDKN2C,Cdkn2c
ZNF337,
PHF21A,Phf21a
LRRTM1,Lrrtm1
HNRNPD,Hnrnpd
SUGP1,Sugp1
NDUFB7,Ndufb7
WDR19,Wdr19
POLD3,Pold3
IL21R,Il21r
WDR66,Wdr66
FAM208A,Fam208a
ZNF395,Zfp395
ANKFY1,Ankfy1
APOD,Apod
EID3,Eid3
TBPL1,Tbpl1
PLSCR2,
ATP6V1F,Atp6v1f
PGPEP1L,Pgpep1l
ACVR1,Acvr1
RSPRY1,Rspry1
TAAR1,Taar1
IPO7,Ipo7
CDC27,Cdc27
EIF2A,Eif2a
DCP2,Dcp2
VPS29,Vps29
ZNF136,
DPYS,Dpys
PFDN4,Pfdn4
BATF2,Batf2
TBC1D8B,Tbc1d8b
GJD2,Gjd2
ITPR1,Itpr1
SLC22A17,Slc22a17
EMX1,Emx1
GNPDA2,Gnpda2
C4H4ORF45,Gm17359
TMC4,Tmc4
DR1,Dr1
LRIG1,Lrig1
MYBPH,Mybph
DNAJC18,Dnajc18
PEX12,Pex12
KLHL29,Klhl29
USP19,Usp19
CALML3,Calml3
PTS,Pts
HTN1,
GSDME,Gsdme
AP1M1,Ap1m1
THEMIS,Themis
ATP2C1,Atp2c1
PRAMEF27,
DBR1,Dbr1
GFRA3,Gfra3
ZNF599,
UGGT1,Uggt1
TTC6,
LOC650157,
KLF4,Klf4
FANCE,Fance
HTN3,
PFDN2,Pfdn2
MT1B,
SPDYE4,
RGS21,Rgs21
CUL1,Cul1
TECRL,Tecrl
DBF4B,
SLFN12L,Slfn4
CALHM2,Calhm2
MEGF6,Megf6
AMN,Amn
SOD2,Sod2
FOXM1,Foxm1
PQLC3,Pqlc3
ZNF142,Zfp142
C3H1orf54,BC028528
RHOC,Rhoc
ZNF684,
MRPL37,Mrpl37
IL20RB,Il20rb
ACSBG2,Acsbg2
LANCL3,Lancl3
COLEC12,Colec12
ACTR3,Actr3
TRAF3IP1,Traf3ip1
TMEM60,Tmem60
GDPD2,Gdpd2
IL18R1,Il18r1
EID2,Eid2
NRXN1,Nrxn1
GBP5,Gbp5
SLK,Slk
ARHGAP28,Arhgap28
VHLL,
RPL32,Rpl32l
CASC3,Casc3
CAB39L,Cab39l
RAB38,Rab38
DTX1,Dtx1
RBMX,Rbmx
KCNB2,Kcnb2
TCERG1L,Tcerg1l
ELOVL2,Elovl2
GNA11,Gna11
ARL6IP5,Arl6ip5
SLC22A24,Slc22a19
C8H8orf74,4930578I06Rik
KCNB1,Kcnb1
C14orf178,
LEF1,Lef1
MUT,Mut
CFDP1,Cfdp1
MRS2,Mrs2
RAD54L2,Rad54l2
CBLN2,Cbln2
LGALS12,Lgals12
C17H12orf49,2410131K14Rik
DBI,Dbi
DRD2,Drd2
PLCXD2,Plcxd2
CXCL17,Cxcl17
ANKLE1,Ankle1
MATN3,Matn3
RNASE10,Rnase10
ZNF646,Zfp646
TNPO1,Tnpo1
PCDHGA3,Pcdhga3
RHEX,
ANKRD20A4,
SLC17A7,Slc17a7
C7H5orf24,B230219D22Rik
FIGNL2,Fignl2
ZSCAN18,Zscan18
PRR35,
JARID2,Jarid2
HECTD4,Hectd4
SLC45A3,Slc45a3
HIST1H3A,Hist1h3d
KLHDC1,Klhdc1
SLC7A9,Slc7a9
DES,Des
GPR156,Gpr156
GCSAM,Gcsam
ASNSD1,Asnsd1
EIF4E,Eif4e
IL17RA,Il17ra
EPHX1,Ephx1
EFCAB5,Efcab5
KIAA1191,4833439L19Rik
C2H6ORF62,BC005537
RGS20,Rgs20
ZNF22,Zfp422
OR5D14,Olfr1162
GORASP2,Gorasp2
GUCY1A2,Gucy1a2
LMOD3,Lmod3
PRRT3,Prrt3
GSN,Gsn
SYVN1,Syvn1
TTC31,
GABRA4,Gabra4
ASB15,Asb15
BTF3L4,Btf3l4
KIRREL2,Kirrel2
AQP2,Aqp2
PRR23A,Prr23a3
SPOP,Spop
SYNE3,Syne3
GM2A,Gm2a
FBXO41,Fbxo41
CCL25,Ccl25
CHCHD10,Chchd10
TRAF2,Traf2
TNFRSF25,Tnfrsf25
BLMH,Blmh
HTRA2,Htra2
ADGRG4,Adgrg4
ARID5B,Arid5b
GATA3,Gata3
TPRG1L,Tprgl
TIFA,Tifa
NUP133,Nup133
RRP15,Rrp15
FAM126B,Fam126b
CCAR2,Ccar2
SLC36A3,Slc36a3
FOXO6,Foxo6
TEX37,Tex37
ZNF554,
SLC8B1,Slc8b1
NEK5,Nek5
ARHGAP45,Arhgap45
IQCD,Iqcd
CAVIN4,Cavin4
SYNC,Sync
CLDN19,Cldn19
RPA1,Rpa1
BCORL1,Bcorl1
MPZL2,Mpzl2
SLC35G2,Slc35g2
NARS2,Nars2
OLIG2,Olig2
MAP3K4,Map3k4
NHS,Nhs
HRASLS2,
SEMA3F,Sema3f
NTPCR,Ntpcr
METTL7B,Mettl7b
DNAJB1,Dnajb1
NOX1,Nox1
SMUG1,Smug1
NLGN4X,
TMEM92,
OCSTAMP,Ocstamp
CATSPER4,Catsper4
PRF1,Prf1
CEACAM8,
ARHGAP4,Arhgap4
SLC2A2,Slc2a2
FCAMR,Fcamr
EPGN,Epgn
HOXB1,Hoxb1
MOAP1,Moap1
INSM1,Insm1
ASB14,Asb14
PDIA5,Pdia5
ZNF668,Zfp668
MLYCD,Mlycd
SPRY2,Spry2
HSDL1,Hsdl1
RWDD1,Rwdd1
CSTL1,Cstl1
INTS14,Ints14
PLEKHH2,Plekhh2
UBE2Q2,Ube2q2
SIRPG,
ENPP5,Enpp5
MFSD14B,Mfsd14b
CAMTA1,Camta1
SLC26A2,Slc26a2
PEF1,Pef1
UBA5,Uba5
CXCL3,Cxcl2
MARK3,Mark3
CX3CR1,Cx3cr1
SIGMAR1,Sigmar1
MACO1,Tmem57
CCDC63,Ccdc63
PIF1,Pif1
PRSS1,Try10
SKI,Ski
FBLN1,Fbln1
SLC9A6,Slc9a6
ADAMTS2,Adamts2
KHDRBS3,Khdrbs3
C23H1ORF109,9930104L06Rik
IFI30,Ifi30
CHIA,Chia1
ANKRD63,Ankrd63
ALS2,Als2
PRDM4,Prdm4
AIMP2,Aimp2
DDX5,Ddx5
MTA1,Mta1
OR8B8,Olfr145
MAP3K21,Map3k21
BMF,Bmf
MGST1,Mgst1
TMEM101,Tmem101
BDP1,Bdp1
GCOM1,
ANGPT2,Angpt2
HLA-DMB,H2-DMb2
HOXA5,Hoxa5
TIGD1,
CD82,Cd82
OR51E2,Olfr78
SF3A3,Sf3a3
SLC22A8,Slc22a8
IQCN,
PHTF1,Phtf1
ERICH6,Erich6
SLC8A1,Slc8a1
STC1,Stc1
SCAMP1,Scamp1
ZNRF1,Znrf1
LOC101928970,
MED4,Med4
COL4A4,Col4a4
ST3GAL3,St3gal3
BAZ2A,Baz2a
MRPS33,Mrps33
NOCT,Noct
NDUFAF4,Ndufaf4
BPIFB6,Bpifb6
TBC1D1,Tbc1d1
LOC102724770,
RPS4X,
CAVIN1,Cavin1
AKAP2,Akap2
RHEB,Rheb
COMMD7,Commd7
CADM1,Cadm1
CHRNA6,Chrna6
KLRC2,
CLCNKB,Clcnka
OTOF,Otof
DDX54,Ddx54
TMEM170B,Tmem170b
GNG13,Gng13
LYVE1,Lyve1
TRPM1,Trpm1
SLC31A2,Slc31a2
WIPF2,Wipf2
METTL14,Mettl14
STRAP,Strap
MEIS1,
POLR3E,Polr3e
FERMT2,Fermt2
LYRM9,Lyrm9
ZNF771,Zfp771
RASGRP3,Rasgrp3
SSPN,Sspn
SCAPER,Scaper
TGOLN2,
CAMK2N1,Camk2n1
CACNA1I,Cacna1i
TRIP12,Trip12
HMGB4,Hmgb4
PCMTD1,Pcmtd1
RUNX1T1,Runx1t1
RGS11,Rgs11
ZFP42,Zfp42
PSAT1,Psat1
FRG1,Frg1
GALNT16,Galnt16
TRPM2,Trpm2
OTOA,Otoa
YY1,Yy1
PRKCD,Prkcd
TPH1,Tph1
ARID1B,Arid1b
MMP10,Mmp10
S1PR4,S1pr4
UTF1,Utf1
PHEX,Phex
SOCS1,Socs1
SPDL1,Spdl1
PTGER1,Ptger1
ATP23,Atp23
TGFB1,Tgfb1
ZNF460,
ADH4,Adh4
LCA5,Lca5
CGREF1,Cgref1
IPO5,Ipo5
ACTR10,Actr10
SKIDA1,Skida1
RANBP6,Ranbp6
NAALADL1,Naaladl1
VPS33B,Vps33b
SNAP29,Snap29
ISX,Isx
THSD4,Thsd4
PAPD7,Papd7
CNPY4,Cnpy4
CCNE1,Ccne1
OSR1,Osr1
CA1,Car1
TM6SF1,Tm6sf1
PARP3,Parp3
ZMAT3,Zmat3
DUSP3,Dusp3
MAN2A2,Man2a2
CNNM4,Cnnm4
RYBP,Rybp-ps
HIST2H2AB,Hist2h2ab
DNAJC17,Dnajc17
MEIG1,Meig1
ZNF721,
GPRIN3,Gprin3
POR,Por
RPLP2,Rplp2
PGLS,Pgls
PSMC3IP,Psmc3ip
LOC441155,
YIF1A,Yif1a
RELL2,Rell2
RNF125,
INCENP,Incenp
TBL3,Tbl3
PLPP6,Plpp6
ALDH7A1,Aldh7a1
DBN1,Dbn1
OR2V1,Olfr56
OR6C75,Olfr790
NOC2L,Noc2l
NUDT17,Nudt17
AP2S1,Ap2s1
SMIM14,Smim14
PPP2R2A,Ppp2r2a
ARID3B,Arid3b
WFIKKN2,Wfikkn2
C3H1orf50,AU022252
GLIPR1,Glipr1
SLC25A15,Slc25a15
KRT36,Krt36
ALKBH3,Alkbh3
FXYD6,Fxyd6
KIAA1143,1110059G10Rik
MAP3K2,Map3k2
TRIM52,
TKTL1,Tktl1
OR1L1,
PDCD10,Pdcd10
SLC1A2,Slc1a2
LRP4,Lrp4
CCDC127,Ccdc127
EPG5,Epg5
ZNF582,
MXD4,Mxd4
CBX1,Cbx1
KHDRBS2,Khdrbs2
IL1RAP,Il1rap
CABS1,Cabs1
KRTAP4-2,
GIN1,Gin1
TCF19,Tcf19
DCTN1,Dctn1
SPINT4,Spint4
KANK4,Kank4
SSX3,
TMEM9,Tmem9
WIZ,Wiz
ABCD4,Abcd4
OR2AE1,
HOXB4,Hoxb4
NCALD,Ncald
OR10W1,Olfr1490
NFKBIL1,Nfkbil1
CPSF4,Cpsf4
DENND4C,Dennd4c
APOA1,Apoa1
SLC44A1,Slc44a1
CDC16,Cdc16
ILDR1,Ildr1
MAML1,Maml1
ITGAV,Itgav
ANPEP,Anpep
TM4SF1,Tm4sf1
EVC,Evc
MRM1,Mrm1
GTF2H1,Gtf2h1
CACNA1G,Cacna1g
SPINK5,Spink5
GALR2,Galr2
YEATS2,Yeats2
UAP1,Uap1
SNRPF,Snrpf
RPS8,Rps8
ATP8,
DUSP26,Dusp26
NID2,Nid2
USP50,Usp50
OR10R2,
TP53,Trp53
DPYSL2,Dpysl2
CLEC4M,Cd209a
NECAB2,Necab2
PRDM13,Prdm13
STK17B,Stk17b
FAM199X,Fam199x
CDC6,Cdc6
C1H3orf33,E130311K13Rik
ZBTB8OS,Zbtb8os
LOC648044,Gm5741
AMFR,Amfr
PLEKHA5,Plekha5
WEE1,Wee1
ZNF830,Zfp830
DNAJC14,Dnajc14
MAZ,Maz
DRD4,Drd4
DUSP7,Dusp7
ZFP41,Zfp41
ARHGEF17,Arhgef17
GGTLC2,
GABPB2,Gabpb2
SYT13,Syt13
TIRAP,Tirap
DLGAP4,Dlgap4
ETFDH,Etfdh
EFCAB2,Efcab2
VWA1,Vwa1
SELENOW,Selenow
ZNF260,Zfp260
MYCN,Mycn
GAK,Gak
IMP4,Imp4
OR1K1,
TAS2R43,
NBPF9,
CD300C,Cd300c2
EBLN2,
NLRP3,Nlrp3
OXT,Oxt
PACS2,Pacs2
ZGPAT,Zgpat
CCDC9,Ccdc9
ZNF529,
OR5V1,Olfr111
RAB3IL1,Rab3il1
ERCC2,Ercc2
HINFP,Hinfp
TBC1D2B,Tbc1d2b
LDLRAP1,Ldlrap1
DGAT1,Dgat1
SLC7A6OS,Slc7a6os
MZF1,Mzf1
PCNA,Pcna
ARHGEF33,Arhgef33
TAF9B,Taf9b
SEMA7A,Sema7a
ZNF385B,Zfp385b
ACHE,Ache
DNAH11,Dnah11
SLC15A1,Slc15a1
LCE6A,
NSD3,Nsd3
S100A6,S100a6
ANKRD35,Ankrd35
SNX31,Snx31
AGGF1,Aggf1
CRYM,Crym
DCAF12,Dcaf12
NRBF2,Nrbf2
B3GNT4,B3gnt4
PRSS21,Prss21
MUC21,
KDM8,Kdm8
MAP3K7,
DOCK6,Dock6
PLPP3,Plpp3
ANKRD45,Ankrd45
TOX2,Tox2
ZNF664,Zfp664
PRAMEF28P,
PPP1R7,Ppp1r7
CAV1,Cav1
RBM23,
MRGPRG,Mrgprg
RNF126,Rnf126
FHL3,Fhl3
CSRNP3,Csrnp3
YWHAZ,Ywhaz
LOC101929301,
ZNF232,
POMK,Pomk
HYI,
FBXW12,
LRP8,Lrp8
GSTM4,Gstm4
OLIG1,Olig1
ZFP1,Zfp1
SPNS1,Spns1
YAP1,Yap1
CDH19,Cdh19
NCAM2,Ncam2
TTC9B,Ttc9b
MARS,Mars
C7H2ORF76,3110009E18Rik
FRYL,Fryl
CES5A,Ces5a
XPO7,Xpo7
COX6B1,Cox6b1
FAM47E,Fam47e
RNF144A,Rnf144a
TLX2,Tlx2
IFITM1,
LIMA1,Lima1
GSDMA,Gsdma
LFNG,Lfng
C20H20ORF112,Nol4l
LBR,Lbr
PCDH11X,Pcdh11x
MIA,Mia
FUT10,Fut10
TULP2,Tulp2
CYP2C19,
GID4,Gid4
PRDM2,Prdm2
CLMP,Clmp
SPERT,Spert
HDGFL3,Hdgfl3
CASP8AP2,Casp8ap2
NR1H4,Nr1h4
PILRA,Pilra
UBR3,Ubr3
COQ6,Coq6
GOLM1,Golm1
KIAA1549,D630045J12Rik
UBQLN1,Ubqln1
KIF20A,Kif20a
C10H14orf37,3632451O06Rik
ZSCAN32,
CYP26B1,Cyp26b1
NCAPH2,Ncaph2
ACSS3,Acss3
ARHGAP17,Arhgap17
FSHB,Fshb
PSENEN,Psenen
TAB3,Tab3
PLK3,Plk3
LPGAT1,Lpgat1
RPN1,Rpn1
C7orf76,
RGS19,Rgs19
GCC1,Gcc1
C7H2ORF47,Maip1
FAM46C,Fam46c
CLUL1,
RMI2,Rmi2
ALDH1A3,Aldh1a3
IL7R,Il7r
KISS1,Kiss1
TTC33,Ttc33
FRAT1,Frat1
ROBO3,Robo3
CEP78,Cep78
C18H19orf47,2310022A10Rik
DDX25,Ddx25
CCL26,
LSM14A,Lsm14a
ZNF394,Zkscan14
MAPK4,Mapk4
OR1L4,
ZFHX3,Zfhx3
CLDN8,Cldn8
